Exception Handler.S+,Function access.S+,Function access.T+,Operator expression.T+;3;[brettwooldridge_HikariCP-66b64153e1c501bc95ea95de335510e096b709a9, google_ExoPlayer-b6755c145e0f06360f7852a9b1f9ad67cec47533, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Exception Handler.S+,Function access.S+,Function access.T+,Operator expression.S+;2;[brettwooldridge_HikariCP-66b64153e1c501bc95ea95de335510e096b709a9, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Function access.T+,Function access.T-;16;[netty_netty-f04d8ae99ad443cfa708b1a60f385a795b00f364, apache_tomcat-28ec72bd386de2038d27fcbdfcba6df88f0c0827, apache_tomcat-781d816a6e3a0ac095eb0978334243fad020ca3b, netty_netty-dbaeb3314e32b7f707fd4d2ea8ee78abb370ed59, doanduyhai_Achilles-4af254eec69fd75f55cf08b1b08a114267c44098, netty_netty-e3aca1f3d6f8ee2a2c016b65fab19728eb01bc6f, apache_tomcat-6b541758730fb0dabba8e040992eb03ee0e6da47, netty_netty-832ed0c19839472364f84761055b1351d340ac64, apache_derby-c7f3642c1edb3bb3457a4428f0546d6d99658874, apache_derby-c0052e0a3d24e8b9a3bea25e79505aa4d7d1182a, apache_tomcat-486bf35b975460dec93545413f7585370145a2e7, apache_tomcat-b9c7f748872be38b27324fc5e676d67a9a9651c0, ikasanEIP_ikasan-010eed8ba678cb9fafcfd1dc8225e093688e058e, netty_netty-aab71ccd8adf2363a0c51765386d37dc34593d8b, apache_tomcat-15464a57d26c1c69adc82a04f6d5a6630f318dad, apache_tomcat-ddd3c820c4d54e15d28730cb3b7078c1d6f6c85d]
Flow loop control.S+,Flow loop control.S-,Function access.S+,Variable declaration.S+;2;[google_ExoPlayer-0a8dc41632fa4c95ff78bd33ccb06b586b09bbdb, apache_tomcat-a8a4c29929d7c536f738b312857a757967b03d11]
Class Creation.S-,Flow loop control.S-,Function access.T+,Operator expression.T+,Variable declaration.T+;2;[google_ExoPlayer-8db1331021c46a6357a70ebc6f68b59ccbcff3c0, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Exception Handler.S-,Exception Handler.T+,Function access.S-,Return modifier.S+;2;[apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, brettwooldridge_HikariCP-b5101d5e18d3fa68de4e8982cb94a681c0430d8b]
Exception Handler.S-,Exception Handler.T+,Function access.S-,Return modifier.S-;2;[apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, brettwooldridge_HikariCP-b5101d5e18d3fa68de4e8982cb94a681c0430d8b]
Cast.T+,Function Creation.T+,Function access.S-,Function access.T+,Variable declaration.S-;2;[apache_tomcat-498d4a4cced0d6ceced4fee9393b6a89ed02325d, apache_tomcat-54ba2a59f5c1fa4bec7ecfa7e3b6c8f09dcdc83d]
Cast.T+,Function Creation.T+,Function access.S-,Function access.T+,Variable declaration.T+;2;[apache_tomcat-498d4a4cced0d6ceced4fee9393b6a89ed02325d, apache_tomcat-54ba2a59f5c1fa4bec7ecfa7e3b6c8f09dcdc83d]
Exception Handler.T+,Flow loop control.S-,Function Creation.T+,Variable declaration.T+;4;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, apache_tomcat-c0426acdd090d29a5a3e8ed337e7c726a0d0814c, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774, apache_derby-fb605fe1d1890d0c50ecb56aae300648401401ac]
Exception Handler.T+,Flow loop control.S-,Function Creation.T+,Variable declaration.S-;2;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, apache_derby-fb605fe1d1890d0c50ecb56aae300648401401ac]
Conditional.T+,Flow loop control.T+,Function access.T+,Operator expression.S-,Operator expression.T+;3;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
Class Creation.S-,Exception Handler.S+,Exception Handler.S-,Function access.T+;2;[netty_netty-9d89ad08371a7ef905c6e24589ef8d4456211a40, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
